Wall time,Step,Value
1763710114.2448847,244,0.038308337330818176
1763710131.6099806,465,0.03241368383169174
1763710139.0827894,556,0.03446253016591072
1763710147.5161407,658,0.028290951624512672
1763710158.956085,804,0.03532806783914566
1763710175.1694643,1026,0.022925250232219696
1763710183.252758,1132,0.0314767062664032
1763710206.4194493,1458,0.02794291265308857
1763710209.225969,1494,0.028636673465371132
1763710210.4685981,1510,0.03616117686033249
1763710214.8313026,1565,0.0301029235124588
1763710245.1080804,1940,0.030821047723293304
1763710246.7608128,1960,0.030325498431921005
1763710290.0269768,2503,0.026921505108475685
1763710304.4080102,2693,0.02659023180603981
1763710306.3728662,2717,0.02427133545279503
1763710334.5924788,3083,0.026897184550762177
1763710347.7259939,3241,0.02928919345140457
1763710349.711504,3265,0.029607191681861877
1763710373.0849087,3566,0.027320578694343567
1763710382.8065772,3654,0.023735985159873962
1763710418.8890715,4121,0.02426334097981453
1763710423.9299178,4181,0.03020746074616909
1763710454.0757072,4564,0.024659089744091034
1763710495.4351447,5090,0.02876414731144905
1763710503.0651042,5187,0.02478824555873871
1763710508.868844,5262,0.02548418939113617
1763710511.519286,5295,0.025204282253980637
1763710516.9770796,5362,0.02911493182182312
1763710526.6018245,5454,0.02350950799882412
1763710543.270602,5667,0.02692754752933979
1763710556.7031012,5832,0.023688996210694313
1763710559.320615,5866,0.024759918451309204
1763710568.0205545,5981,0.026106635108590126
1763710569.1002836,5997,0.02126247249543667
1763710573.2832115,6053,0.02725270763039589
1763710591.2958038,6279,0.02664233185350895
1763710595.7523553,6334,0.024125922471284866
1763710613.4733188,6569,0.02442985773086548
1763710625.6936214,6730,0.024836469441652298
1763710636.1092145,6850,0.025486931204795837
1763710648.195455,6991,0.0227903313934803
1763710671.4995234,7253,0.022099869325757027
1763710685.9939075,7436,0.024336345493793488
1763710688.2806869,7464,0.024731244891881943
1763710702.6085298,7644,0.02867339923977852
1763710709.5436227,7730,0.02685803733766079
1763710729.5263944,7986,0.021250149235129356
1763710740.8494964,8122,0.02213466912508011
1763710754.7320156,8291,0.026713000610470772
1763710775.0347407,8548,0.027927489951252937
1763710775.5304115,8554,0.02310118079185486
1763710780.8069708,8618,0.023275960236787796
1763710784.1877706,8659,0.025538362562656403
1763710787.0871773,8694,0.021880190819501877
1763710789.5400488,8724,0.024150948971509933
